id,name
9,春晓食堂
116,测试食堂0001
117,测试员工餐厅0005
121,测试员工餐厅商户103100
122,测试员工餐厅103120
140,周然测试食堂（新支付V2）
151,张文润测试食堂
168,测试商户名称1
187,测试食堂测试
192,自动支付测试
193,研发支付测试
194,创建员工餐厅穿上世界上的技术比赛时间不是时间抓紧时间是不是傻
195,短短短短短短短短短短短短短短短短短短短短短短短短短短短短短短
231,糙盐精选
251,闫丹（测试）食堂
286,员工餐厅id测试
348,pp测试（测）
349,山东英才学院（老兵餐饮）
355,森丰大厦食堂(小禾苗饮食)
380,Payment 测试
398,成都太保专用套餐
425,飞扬科技园食堂食星餐饮
428,中国兰州马氏传统牛肉面
431,赵英伟测试食堂3
443,华西测试食堂
444,嘟知到餐饮未上线
468,如皋造船厂
470,张清测试食堂
486,合肥安德智联职工食堂（闻香源餐饮）
491,邓懿琛测试B
494,四川省第二中医院查账
495,四川省第二中医院餐线
496,四川省第二中医院小炒
497,四川省第二中医院超市
502,好客厨房
509,xcj_测试员工餐厅无法创建
510,DQ测试商户20210201
514,正一味首经贸店
515,由氏麻辣香锅定福庄店
518,醉忆川华贸购物中心店
524,广州凤尾小学
530,索迪斯-欧莱雅食堂
532,开沃徐州餐厅
539,开沃高淳餐厅
540,开沃新食堂
541,开沃老食堂
542,开沃华维克
543,开沃来碗馄饨
544,开沃烧烤
545,开沃鲜果
546,开沃百货超市
547,开沃刘记淮南牛肉汤
548,开沃饭店
550,开沃员工超市
563,泰州人民医院（中快人餐饮）
565,开沃武汉餐厅
569,中西医结合医院食堂
616,食堂系统搭建
617,测试1100
619,报餐
620,静安检察院咖吧
621,静安检察院洗衣房
622,静安检察院理发室
630,美餐成都
631,泰祥热电厂区食堂
634,常州一院营养食堂
635,常州一院罗森
637,美餐work餐厅体验馆
638,退休干部大学-大塔儿巷食堂
639,退休干部大学-保俶北路食堂
641,食堂测试cs
643,常州一院集中扣款
657,索迪斯-Nike自营外卖
672,美餐小食堂-2
674,千百味
678,鑫海泉建信晓月楼专用
683,盒马F2到店
689,测试订餐
693,vivo食堂
698,迅达总部餐厅2
701,饮食服务中心
702,武汉东湖网谷食堂-二楼宴请
706,煲煲鼎
711,郑州三院北院区职工餐厅一号机
714,武汉东风测试接口食堂
720,郑州三院北院区午餐
744,北京汉王大厦
753,长沙测试餐厅1餐厅
777,波波测试餐厅
785,测试餐厅2
786,测试餐厅1
799,八中心军人餐厅自助餐厅
800,八中心香山门诊部餐厅
806,招商仁和集团深办
832,自选餐线(北京搜狐网络大厦)
833,NKD系统演示
835,万亚餐饮（瀚川智能）
837,合肥国际金融中心职工补贴
844,信阳学院2
859,2021-超视堺CE宵夜食堂-旧
866,测试04
872,铁板炒饭
873,食悦轩餐厅
878,静安检察院洗车费
881,测试dw
882,测试餐厅111
890,赵英伟日常食堂测试
892,皇家美孚
894,皇家美孚_北京
899,喻记南派
900,凡夫测试
901,通州院区
902,测试通州院区店
907,好客厨房(瀚川智能)
908,兀岛烧肉丼饭
909,令狐沖沖麻辣香锅
910,东莞人保食堂弃用
913,原麦蛋糕店
916,新丰县农业农村局暂不用
917,益膳砂煲粥
924,测试1031
926,测试1030
927,测试10301
928,汉堡王
932,卜蜂莲花
934,东北人家
946,亚惠美食111
947,么么鱼欢乐烫
949,北航餐厅
953,湖南景园小馆
954,广州实验室餐厅档口
955,方一坤野山菌胡辣汤
956,蜜度烘焙坊
959,北航餐厅青岛店-A
960,北航餐厅-B
961,北航餐厅-C
962,北航餐厅-D
963,北航餐厅-E
965,头牌烧烤
969,妙客中式餐饮
971,无锡中环106食堂
972,无锡中环109食堂
973,无锡中环环鑫食堂
974,无锡中环电池食堂
975,无锡中环新能源食堂
981,维沃北京食堂
986,久谷香
987,犟骨头绿城丽达店
989,沙野轻食
992,驴脾气西三旗店
995,晓寿司日本料理
996,青禾馅饼新乡店
998,刘壹两生煎
1000,紫金保险离职清零
1007,无锡中环办公楼B座食堂
1012,国妇婴便民服务部
1018,海盗虾饭(呼家楼店)
1019,台资味卤肉饭
1022,无锡中环大食堂特色区
1023,丽峰食尚四季青店
1025,天津大学新城医院员工食堂二层充值
1030,海盗虾饭上地辉煌店
1032,海盗虾饭上地辉煌店滴滴专用
1034,漫玖捌青岛店
1036,杭州市肿瘤医院-零售
1038,亚惠美食欧亚达店
1045,盛磊测试餐厅
1046,泰州金融广场-锦泰超市
1047,硬件简单模式测试食堂
1050,NICK搭建后台测试
1052,卤真香捞面捞饭
1057,广州市悦汇城食堂方盒餐饮
1058,广州市方盒悦汇城
1062,1222测试2
1063,罗店医院食堂
1064,成都太保-巴蜀味馆
1068,DAPI测试食堂2
1069,成都太保-邻里小食
1070,成都太保-水煮之乡
1071,成都太保-烧腊档口
1072,成都太保-味园小面
1073,成都太保水吧
1074,成都太保自选2
1077,小气鬼烩菜
1078,米厨当家
1082,西域兰庭
1083,夸父炸串
1084,守珍饺子清真店
1085,守珍饺子安贞店
1086,陕客肉夹馍
1087,吉祥馄饨青岛绿城丽达店
1088,淘宝商城代采
1093,上海铁力工业园园区食堂
1094,上海东航物流虹桥机场西区货站食堂（康喜乐嘉）
1095,康喜备用食堂5
1096,康喜备用食堂6
1097,康喜备用食堂7
1098,康喜备用食堂8
1099,康喜备用食堂9
1100,康喜备用食堂10
1101,康喜备用食堂11
1103,成都太保备用账户1
1104,成都太保备用账户2
1105,成都太保备用账户3
1107,合肥华宇餐饮有限公司备用食堂1
1108,合肥华宇餐饮有限公司备用食堂2
1109,合肥华宇餐饮有限公司备用食堂3
1111,合肥华宇餐饮有限公司备用食堂4
1112,合肥华宇餐饮有限公司备用食堂5
1115,广州市向太太餐饮有限公司
1116,湘雅二院备用食堂1
1117,湘雅二院备用食堂2
1118,湘雅二院备用食堂3
1119,湘雅二院备用食堂4
1120,湘雅二院备用食堂5
1122,食布我袋布袋馍
1127,武汉三特索道集团股份有限公司
1129,九江市第三人民医院备用1
1130,九江市第三人民医院备用2
1131,九江市第三人民医院备用3
1132,常州康喜乐嘉备用1
1133,常州康喜乐嘉备用2
1134,太保测试2
1135,芝麻花餐饮备用食堂1
1136,芝麻花餐饮备用食堂2
1138,林赞东测试餐厅
1142,杨恒测试/
1143,牟泉竹测试拉面
1145,易凯杰测试/
1147,高永飞测试2
1154,李泽林上海大学测试校区一食堂
1156,李泽林上海大学测试校区
1166,测试废弃
1170,美餐测试学院一食堂
1171,遂溪人民医院职工食堂
1173,北田厨品日式招牌饭-A
1175,DAPI测试食堂3
1182,麻门毛肚米线
1183,杨府合流镇胡辣汤
1184,花甲大咖
1185,北田厨品悦荟店
1189,芜湖食汇林餐饮备用食堂1
1190,芜湖食汇林餐饮备用食堂2
1191,芜湖食汇林餐饮备用食堂3
1192,芜湖食汇林餐饮备用食堂4
1193,芜湖食汇林餐饮备用食堂5
1194,芜湖食汇林餐饮备用食堂6
1195,喜来登大酒店代采
1198,郴州职院备用食堂1
1200,老边饺子馆航天桥店
1202,厨禾现炒小碗菜曼哈顿店
1203,厨禾现炒小碗菜郑东新区店
1204,小马哥金钱麻辣爆肚郑州工商学院店
1205,安徽国际商务职业学院总餐厅
1208,掌隆备用餐厅1
1209,掌隆备用餐厅2
1210,掌隆备用餐厅3
1211,掌隆备用餐厅4
1212,掌隆备用餐厅5
1214,杨俊千测试餐厅1
1215,杭州医药港和达药谷4期超市（庆禾餐饮）
1218,北京金宝大厦尚正永业
1220,华丽餐厅备用1
1221,华丽餐厅备用2
1222,华丽餐厅备用3
1223,开沃集团生日福利（废）
1224,汉堡王集成电路店
1226,泛美测试食堂1
1227,泛美测试食堂2
1228,开沃烘焙坊
1231,赞稼八宝粥青岛南京路
1232,觅轻食客青岛店
1233,宿州航空备用餐厅1
1234,宿州航空备用餐厅2
1235,合肥工业大学智能制造技术研究院食堂备用
1236,杨訫米线洛阳店
1237,中科大厦食堂
1251,常州一院罗森新
1256,邹俞测试信农学院食堂二楼（好乐佳餐厅）
1259,老边饺子馆西客站店
1260,武汉测试餐厅
1261,武汉测试餐厅2
1262,武汉测试餐厅3
1266,湖北易道餐饮备用餐厅1
1267,湖北易道餐饮备用餐厅2
1268,湖北易道餐饮备用餐厅3
1269,湖北易道餐饮备用餐厅4
1270,湖北易道餐饮备用餐厅5
1271,湖北易道餐饮备用餐厅6
1272,湖北易道餐饮备用餐厅7
1273,湖北易道餐饮备用餐厅8
1274,湖北易道餐饮备用餐厅9
1275,湖北易道餐饮备用餐厅10
1276,湖北易道餐饮备用餐厅11
1277,湖北易道餐饮备用餐厅12
1278,湖北易道餐饮备用餐厅13
1279,湖北易道餐饮备用餐厅14
1280,湖北易道餐饮备用餐厅15
1282,test1zhaopeng
1285,新丰县行政服务中心备用
1286,新丰县行政服务中心备用1
1287,新丰县行政服务中心备用2
1288,安徽尚好轩餐饮备用食堂1
1289,安徽尚好轩餐饮备用食堂2
1291,赞稼八宝粥青岛南京路-A
1292,赞稼八宝粥青岛南京路-B
1293,赞稼八宝粥青岛南京路-C
1294,赞稼八宝粥青岛南京路-D
1295,赞稼八宝粥青岛南京路-E
1298,福建船政交通职业学院中善食堂备用1
1299,福建船政交通职业学院中善食堂备用2
1303,泉州第一医院城东分院食堂备用3
1307,武汉康喜乐嘉备用餐厅1
1308,武汉康喜乐嘉备用餐厅2
1309,武汉康喜乐嘉备用餐厅3
1310,武汉康喜乐嘉备用餐厅4
1311,武汉康喜乐嘉备用餐厅5
1312,武汉康喜乐嘉备用餐厅6
1313,武汉康喜乐嘉备用餐厅7
1314,武汉康喜乐嘉备用餐厅8
1315,武汉康喜乐嘉备用餐厅9
1316,武汉康喜乐嘉备用餐厅10
1317,武汉康喜乐嘉备用餐厅11
1318,武汉康喜乐嘉备用餐厅12
1319,武汉康喜乐嘉备用餐厅13
1320,武汉康喜乐嘉备用餐厅14
1321,武汉康喜乐嘉备用餐厅15
1326,重拾糊涂馄饨洛阳店
1334,杭州禾苗餐饮管理有限公司备用2
1335,杭州禾苗餐饮管理有限公司备用3
1336,杭州禾苗餐饮管理有限公司备用4
1337,杭州禾苗餐饮管理有限公司备用5
1338,杭州禾苗餐饮管理有限公司备用6
1339,杭州禾苗餐饮管理有限公司备用7
1340,杭州禾苗餐饮管理有限公司备用8
1341,杭州禾苗餐饮管理有限公司备用9
1342,杭州禾苗餐饮管理有限公司备用10
1343,杭州禾苗餐饮管理有限公司备用11
1344,杭州禾苗餐饮管理有限公司备用12
1345,杭州禾苗餐饮管理有限公司备用13
1346,杭州禾苗餐饮管理有限公司备用14
1347,杭州禾苗餐饮管理有限公司备用15
1348,杭州禾苗餐饮管理有限公司备用16
1349,杭州禾苗餐饮管理有限公司备用17
1350,杭州禾苗餐饮管理有限公司备用18
1351,杭州禾苗餐饮管理有限公司备用19
1352,杭州禾苗餐饮管理有限公司备用20
1353,杭州禾苗餐饮管理有限公司备用21
1354,杭州禾苗餐饮管理有限公司备用22
1355,杭州禾苗餐饮管理有限公司备用23
1356,杭州禾苗餐饮管理有限公司备用24
1357,杭州禾苗餐饮管理有限公司备用25
1358,杭州禾苗餐饮管理有限公司备用26
1359,杭州禾苗餐饮管理有限公司备用27
1360,杭州禾苗餐饮管理有限公司备用28
1361,【旧】阳江市人民医院食堂
1363,国际饭店备用
1364,北京国际饭店备用1
1365,汉堡王龙冠置业店
1366,小喜哥牛肉胡辣汤
1373,安徽公路技校备用餐厅
1374,水饺鲜生青岛店
1377,霸蛮米饭青岛悦荟店
1379,故里蓉城冒菜
1382,南华大学附属医院备用1
1383,南华大学附属医院备用2
1384,南华大学附属医院备用3
1386,集杰号餐厅
1389,武汉中饮餐饮备用餐厅2
1390,武汉中饮餐饮备用餐厅3
1391,武汉中饮餐饮备用餐厅4
1392,武汉中饮餐饮备用餐厅5
1393,武汉中饮餐饮备用餐厅6
1394,武汉中饮餐饮备用餐厅7
1395,武汉中饮餐饮备用餐厅8
1396,武汉中饮餐饮备用餐厅9
1397,武汉中饮餐饮备用餐厅10
1416,合肥海尔电冰箱厂食堂B楼备用餐厅
1423,三社管徐胜赢测试食堂
1430,安泰商贸
1431,小鱼大作酸菜鱼青岛店
1432,荣知味米线洛阳店
1434,花甲大咖开封店
1444,合肥海尔电冰箱厂食堂B楼备用餐厅2
1445,合肥海尔电冰箱厂食堂B楼备用餐厅3
1446,合肥海尔电冰箱厂食堂B楼备用餐厅4
1447,合肥海尔电冰箱厂食堂B楼备用餐厅5
1453,广东青年职业学院备用食堂一
1454,良品早餐
1455,良品称菜
1456,良品营养套餐
1457,良品卤制品
1458,良品水煮鱼香
1459,良品粉面世家
1460,良品现焗世家
1461,良品卤肉饭
1462,良品鲜快炒
1463,良品轻食水果
1465,晓寿司玉泉营店
1466,喜茶新中关店代采
1467,凉山中医院备用
1468,良品铺子测试
1471,良品烧腊
1473,良品铺子食堂测试
1477,汉堡王诚盈中心店
1478,麦子香家常菜手擀面
1482,牛三爷嫩牛五方(新乡店)
1483,晓寿司动物园店
1485,上海配餐中心食堂
1490,天文馆备用
1493,MISS汀蛋糕甜品店
1495,废弃
1497,海航大厦食堂
1501,安庆会通新材料有限公司厂区行一备用餐厅
1502,huihiu
1504,半糖联盟青岛店
1505,河南科技大学第一附属医院新院区一层充值处
1507,安庆绿地新里城营销中心食堂友惠备用餐厅
1508,五谷渔粉新乡店
1511,米知味融合餐厅
1512,五谷渔粉新乡高新区店
1513,五谷渔粉
1514,盛磊的测试食堂
1515,盛磊的测试食堂2
1516,长垣烹饪职业技术学院二楼餐厅
1517,河南老兵餐饮服务有限公司备用餐厅1
1518,河南老兵餐饮服务有限公司备用餐厅2
1519,河南老兵餐饮服务有限公司备用餐厅3
1520,河南老兵餐饮服务有限公司备用餐厅4
1521,河南老兵餐饮服务有限公司备用餐厅5
1522,河南老兵餐饮服务有限公司备用餐厅6
1523,河南老兵餐饮服务有限公司备用餐厅7
1524,河南老兵餐饮服务有限公司备用餐厅8
1525,河南老兵餐饮服务有限公司备用餐厅9
1526,河南老兵餐饮服务有限公司备用餐厅10
1527,安徽公路技校备用餐厅1
1528,盛磊开的中餐厅
1529,盛磊开的西餐厅
1530,安徽公路技校备用餐厅2
1531,安徽公路技校备用餐厅3
1533,合工大智能院二楼食堂备用餐厅1
1534,合工大智能院二楼食堂备用餐厅2
1537,比德文产业园四楼备用餐厅1
1539,上海东航物流虹桥机场东区充值收款
1540,东航物流浦东机场西区充值收款
1541,东航物流浦东机场东区北区充值收款
1543,奉化迎思社区安养食堂充值
1547,宁波康喜乐嘉备用食堂9
1548,宁波康喜乐嘉备用食堂10
1549,宁波康喜乐嘉备用食堂11
1550,宁波康喜乐嘉备用食堂12
1551,宁波康喜乐嘉备用食堂13
1552,宁波康喜乐嘉备用食堂14
1553,宁波康喜乐嘉备用食堂15
1554,宁波康喜乐嘉备用食堂16
1555,宁波康喜乐嘉备用食堂17
1556,宁波康喜乐嘉备用食堂18
1557,宁波康喜乐嘉备用食堂19
1558,宁波康喜乐嘉备用食堂20
1559,宁波康喜乐嘉备用食堂21
1560,宁波康喜乐嘉备用食堂22
1561,宁波康喜乐嘉备用食堂23
1562,宁波康喜乐嘉备用食堂24
1563,宁波康喜乐嘉备用食堂25
1564,宁波康喜乐嘉备用食堂26
1565,宁波康喜乐嘉备用食堂27
1566,宁波康喜乐嘉备用食堂28
1567,宁波康喜乐嘉备用食堂29
1568,宁波康喜乐嘉备用食堂30
1569,宁波康喜乐嘉备用食堂31
1570,宁波康喜乐嘉备用食堂32
1571,宁波康喜乐嘉备用食堂33
1572,宁波康喜乐嘉备用食堂34
1573,宁波康喜乐嘉备用食堂35
1574,宁波康喜乐嘉备用食堂36
1575,宁波康喜乐嘉备用食堂37
1576,宁波康喜乐嘉备用食堂38
1577,宁波康喜乐嘉备用食堂39
1578,宁波康喜乐嘉备用食堂40
1579,宁波康喜乐嘉备用食堂41
1580,宁波康喜乐嘉备用食堂42
1581,宁波康喜乐嘉备用食堂43
1582,宁波康喜乐嘉备用食堂44
1583,宁波康喜乐嘉备用食堂45
1584,宁波康喜乐嘉备用食堂46
1585,宁波康喜乐嘉备用食堂47
1586,宁波康喜乐嘉备用食堂48
1587,宁波康喜乐嘉备用食堂49
1588,宁波康喜乐嘉备用食堂50
1591,比德文产业园四楼备用餐厅2
1592,比德文产业园四楼备用餐厅3
1593,比德文产业园四楼备用餐厅4
1594,比德文产业园四楼备用餐厅5
1595,湘南学院附属医院备用食堂1
1596,湘南学院附属医院备用食堂2
1597,湘南学院附属医院备用食堂3
1598,河南老雒阳幸福团餐饮食有限公司备用餐厅1
1599,河南老雒阳幸福团餐饮食有限公司备用餐厅2
1600,河南老雒阳幸福团餐饮食有限公司备用餐厅3
1601,河南老雒阳幸福团餐饮食有限公司备用餐厅4
1602,河南老雒阳幸福团餐饮食有限公司备用餐厅5
1603,河南老雒阳幸福团餐饮食有限公司备用餐厅6
1604,花小小新疆炒米粉
1605,亚惠美食和平广场店
1607,米知味纱厂南路店
1608,惊鸿一面银川店
1610,汉堡王包头苏宁广场店
1611,汉堡王济宁贵和店
1612,成都市温江区医学城3期食堂三楼
1613,成都市温江区医学城3期食堂四楼
1616,成都美餐分公司
1618,汉堡王北京新荟城店
1629,谷满地饭店郑州店
1631,称重餐线
1633,汉堡王天津MSD店
1634,汉堡王天津小白楼店
1635,汉堡王青岛阳光大厦店
1636,绿泉餐饮备用餐厅1
1637,绿泉餐饮备用餐厅2
1638,汉堡王石家庄财富大厦店
1639,绿泉餐饮备用餐厅3
1640,汉堡王保定华创店
1641,绿泉餐饮备用餐厅4
1642,绿泉餐饮备用餐厅5
1643,汉堡王太原北美新天地餐厅店
1644,汉堡王唐山爱琴海店
1645,汉堡王临沂泰盛广场店
1646,汉堡王四元桥店
1648,南昌创力大厦观味食堂备用1
1650,中核五建网上商超
1651,晶川电力电子科技园食堂备用餐厅
1652,晶川电力电子科技园食堂备用餐厅2
1653,晶川电力电子科技园食堂备用餐厅3
1654,晶川电力电子科技园食堂备用餐厅4
1656,渭南市山阳煤矿二楼超市
1657,餐补消费餐厅测试
1660,浙江灵峰餐饮备用1
1661,浙江灵峰餐饮备用2
1662,浙江灵峰餐饮备用3
1663,浙江灵峰餐饮备用4
1664,浙江灵峰餐饮备用5
1665,浙江灵峰餐饮备用6
1666,浙江灵峰餐饮备用7
1667,浙江灵峰餐饮备用8
1668,浙江灵峰餐饮备用9
1669,浙江灵峰餐饮备用10
1672,文榜火烧新乡店
1675,安徽粮食工程职业学院大佳一餐厅备用1
1676,安徽粮食工程职业学院大佳一餐厅备用2
1677,安徽粮食工程职业学院大佳一餐厅备用3
1678,汉堡王太原万达店
1679,顺德光电产业园都市嘉食堂康洁膳食备用1
1680,顺德光电产业园都市嘉食堂康洁膳食备用2
1684,【备用】新容奇医院-职工餐厅
1687,贵州广播电影电视学校食堂二楼
1688,贵州广播电影电视学校食堂三楼
1690,苏州品越餐饮
1691,测试001吴
1694,重庆荣昌盈田产业园食堂-充值专用
1695,汉堡王青岛利群店-A
1696,德科测试
1698,合工创芯产业园食堂二楼备用餐厅
1701,allen测试
1706,澳优总部备用食堂
1713,南充市中心医院（备用1）
1714,南充中心医院（备用2）
1716,荣昌鲜佳智备用10
1717,荣昌眼镜园备用6
1718,荣昌鲜佳智备用9
1726,洛阳新义煤矿矿口超市
1732,肉蟹煲
1734,支付宝小微测试餐厅
